卖家Id,卖家入驻闲鱼时长,卖家卖出商品数量,卖家职业,卖家访问闲鱼频率,卖家芝麻评级,卖家芝麻信用,卖家发货地址,商品标题,商品状态,商品划线价格,商品售价,商品数量,商品邮费,商品浏览数,商品想要人数,商品点赞数,商品同款信息,商品描述
2936027343,来闲鱼172天了,卖出过3件宝贝,,51分钟前来过,D,信用中等,成都,New Balance正品套衫迷彩卫衣 白菜价 95新几十块,在售,0,37.76,1,0,41,1,0,无同款商品信息,New Balance正品套衫迷彩卫衣 白菜价 95新几十块钱穿着玩儿 毕竟还是牛逼NB 二手服饰 建议慎拍 迷彩花臂
381195533,来闲鱼833天了,卖出过64件宝贝,零售行业行政,连续4天来过,A,信用极好,北京,史努比童装速干裤潮运动裤休闲裤哈伦裤弹力裤,在售,0,28.5,1,0,4,0,0,无同款商品信息,"史努比童装速干裤潮运动裤休闲裤哈伦裤弹力裤

夏季空调裤防蚊虫叮咬！

儿童潮裤，亲可直接拍哈，备注需要的颜色即可！"
367280598,来闲鱼222天了,卖出过18件宝贝,,2小时前来过,A,信用极好,东莞,阿迪达斯连帽运动风衣,在售,889,150,1,0,3,0,0,无同款商品信息,"阿迪达斯连帽运动风衣
全新男款M
蓝色清新自然
穿上就是帅哥哈哈哈哈
女生穿上Oversize风也很好看

喜欢私聊
二手物品售出不退换
看好再拍
偏远地区不包邮"
322028098,来闲鱼1651天了,卖出过6件宝贝,,2小时前来过,A,信用极好,银川,阿迪达斯运动休闲短袖t恤 功能：超轻 功能：吸湿排汗 功能：,在售,0,80,1,0,3,0,0,无同款商品信息,阿迪达斯运动休闲短袖t恤 功能：超轻 功能：吸湿排汗 功能：透气 品牌：Adidas/阿迪达斯 服装版型：常规，闲置出，二手商品售出不退换！买来就没穿过，现在穿上小了点！
3578532632,来闲鱼24天了,卖出过20件宝贝,"来闲鱼24天了,卖出过20件宝贝",刚刚来过,C,信用良好,阜新,耐克女款拉链连帽卫衣  衣长  尺寸L/165/88A 八成,在售,0,48,1,0,42,1,0,无同款商品信息,耐克女款拉链连帽卫衣  衣长  尺寸L/165/88A 八成新轻微油渍 拍前请看好图片尺寸  售出不退不换  不议价  所有衣物都是二手品牌回收店的正品衣物   内标齐全   价格很低只求喜欢的朋友能多多关注我  多多光临与支持#二手旧衣物
679443564,来闲鱼1635天了,卖出过35件宝贝,喜欢时尚、音乐、娱乐、居家、舞蹈,连续4天来过,B,信用优秀,牡丹江,安踏运动款连衣裙，九九新。大合唱买的连衣裙，就穿了5分钟，唱,在售,0,60,1,0,54,2,0,无同款商品信息,安踏运动款连衣裙，九九新。大合唱买的连衣裙，就穿了5分钟，唱完就换下了，M码165 本人身高171 体重106 胸围89穿着尺码正好，个人不太喜欢这种运动风，低价转！二手物品不退不换！
1081723195,来闲鱼933天了,卖出过17件宝贝,,2小时前来过,A,信用极好,大连,品牌型号：冬季厚棉运动裤 尺码：2.6尺-2.8尺左右均可穿,在售,0,25,1,0,36,0,0,无同款商品信息,品牌型号：冬季厚棉运动裤 尺码：2.6尺-2.8尺左右均可穿着 基础风格：运动 八成新 偏远地区邮费另计 二手衣物售后不退不换
2.20792E+12,来闲鱼51天了,卖出过3件宝贝,培训行业咨询顾问,连续2天来过,D,信用中等,北京,全新Nike  Sportswear男士运动梭织长裤,在售,0,160,1,0,4,0,0,无同款商品信息,"全新Nike  Sportswear男士运动梭织长裤
货号928001 原价539
暴躁起来，这款Sportswear男子运动长裤采用顺滑梭织面料，比普通梭织面料弹力更好更顺滑，上身体验超级舒爽，很适合夏季运动休闲驾驭！垂感超棒的面料结合锥形剪裁，塑就简洁利落的运动风范与舒适穿着体验！可调式弹性腰部和裤脚设计，缔造稳固舒适感
本交易仅支持自提"
64319326,来闲鱼1381天了,卖出过72件宝贝,默认二手，别一会儿还价一会儿求包邮，收货后拿着放大镜找瑕疵，注意素质,1小时前来过,A,信用极好,沈阳,AIR JORDAN aj童篮球套装,在售,0,68,1,7,5,0,0,无同款商品信息,"AIR JORDAN aj童篮球套装
超帅的一套
夏天穿起来凉凉快快的
颜色也好看
适合身高110-116cm
5-6岁
九五新
二手商品售出不退不换
议价不回"
717957982,来闲鱼567天了,卖出过54件宝贝,IT/互联网/通信行业工程师,连续3天来过,A,信用极好,天津,条纹运动裤收口松紧腰休闲女裤，尺寸如图，只穿过一次，因为我穿,在售,100,50,1,0,38,0,0,无同款商品信息,条纹运动裤收口松紧腰休闲女裤，尺寸如图，只穿过一次，因为我穿比较短，转给喜欢的美眉，二手物品不退换，偏远地区不包邮
1795542413,来闲鱼191天了,卖出过567件宝贝,,1小时前来过,B,信用优秀,东莞,全新耐克正品！橄榄球止汗帽户外运动骑行跑步足球训练帽普通薄款,在售,0,62,1,0,731,19,0,无同款商品信息,全新耐克正品！橄榄球止汗帽户外运动骑行跑步足球训练帽普通薄款 非二手货，简易包装。保证正品！黑色有L，S两码，白色均码。正品耐克的质量不用怀疑，有弹性怎么都不变形。买过我东西的都知道不要再问正品不正品之类的话。黑色带反光标均码
353342004,来闲鱼1605天了,卖出过56件宝贝,宝宝衣服太多，清清买新的,1小时前来过,A,信用极好,威海,宝宝二手夏天防蚊裤，柔软舒适穿着凉快，13块一条，3岁到5岁,在售,89,13,1,12,4,0,0,无同款商品信息,宝宝二手夏天防蚊裤，柔软舒适穿着凉快，13块一条，3岁到5岁小朋友可以穿。详情看图片细节，需要可直接拍下，二手物品不议价不退换，慎拍
2.20668E+12,来闲鱼49天了,卖出过21件宝贝,工业/制造业行业产品经理,15分钟前来过,A,信用极好,上海,marmot速干男士短袖运动健身T恤,在售,0,69,1,0,175,7,0,无同款商品信息,"marmot速干男士短袖运动健身T恤 
工厂做大货 出完货之后剩下的一些 当二手卖了     
尺码S—XL  130斤到180都可以穿
                  M            L             XL
1/2胸围       54           56            58
1/2下摆       53           55            57
衣长           70.5        72.5          74.5
肩宽           47.2        48.6          50
品质保证 收货后有任何问题 支持退换"
429951191,来闲鱼123天了,卖出过57件宝贝,店铺上新 ，欢迎您进来看看，全是阿迪耐克二手正品货源 ，喜欢的朋友点个关注支持下，谢谢！,2小时前来过,A,信用极好,阜新,阿迪达斯女款运动长裤 尺寸：M号 正品 9成新 无破损拍前请,在售,0,55,1,0,255,3,0,无同款商品信息,"阿迪达斯女款运动长裤 尺寸：M号 正品 9成新 无破损拍前请看好图片尺寸 售出不退换 不议价 所有衣物都是二手品牌回收店的正品衣物  内标齐全  价格很低  只求喜欢的朋友能多多关注我
多多光临  # 二手旧衣物"
679443564,来闲鱼1635天了,卖出过35件宝贝,喜欢时尚、音乐、娱乐、居家、舞蹈,连续4天来过,B,信用优秀,牡丹江,运动服卫衣女，套头。九九新，M码，胸围120，oversiz,在售,0,40,1,0,35,0,0,无同款商品信息,运动服卫衣女，套头。九九新，M码，胸围120，oversize版。穿过两回加起来上身不到两个小时。很好穿的罩衣，天冷直接在里面加打底衫就行。和老公买了情侣衣，两款很相似，这件就转了。二手物品不退不换！
1069129461,来闲鱼908天了,卖出过45件宝贝,自由职业行业人力资源,连续3天来过,A,信用极好,大连,纯棉直筒女运动裤,在售,99,29,1,0,40,0,0,无同款商品信息,"纯棉直筒女运动裤
纯棉运动裤，实体店购买，适合体重125斤以内美女穿，二手商品不退不换。偏远地区不包邮"
2046477178,来闲鱼1213天了,卖出过160件宝贝,,连续5天来过,A,信用极好,南京,tommy hilfiger汤米新款舒适抽绳短裤沙滩裤,在售,0,39.99,1,7,11,0,0,无同款商品信息,"tommy hilfiger汤米新款舒适抽绳短裤沙滩裤
大码男童款 速干 不吸水 涤纶 面料 有内衬网眼
12-14岁 腰围64CM
16-18岁 腰围72CM 可做成人装
超市货质量一般 ¥40/件不包邮，¥80/2件包邮二手物品非质量问题不退不换啦"
2032296678,来闲鱼1659天了,卖出过148件宝贝,,4小时前来过,C,信用良好,青岛,zvbv2020春装新款欧洲站亮片重工钉珠印花圆领套头时尚长,在售,0,30,1,0,17,2,0,无同款商品信息,zvbv2020春装新款欧洲站亮片重工钉珠印花圆领套头时尚长袖卫衣女S码宽松版，穿一洗一，九成新，二手物品不退不换
106727138,来闲鱼1441天了,卖出过130件宝贝,,连续2天来过,A,信用极好,温州,Adidas neo阿迪达斯新款透气运动短袖  材质：棉 功,在售,0,50,1,0,38,1,0,无同款商品信息,Adidas neo阿迪达斯新款透气运动短袖  材质：棉 功能：透气 品牌：Adidas/阿迪达斯 服装版型：常规 尺码 175/92A，衣服9.5成新，无污渍无破损，实拍图，实物会没有图片艳丽，仅供参考。因二手商品售出不退，介意慎拍！
919297852,来闲鱼1565天了,卖出过24件宝贝,其他学校毕业,2小时前来过,A,信用极好,青岛,Gap男装连帽套头卫衣 适用季节：春季 款式：套头 厚薄：常,在售,0,70,1,0,30,0,0,无同款商品信息,"Gap男装连帽套头卫衣 适用季节：春季 款式：套头 厚薄：常规
衣服很干净，折旧程度见图，内里起球，外面很好
看外观8成新，内里买来就稍微有点球
适合：身高173-180 体重130-145
二手服装，不退不换！"
429951191,来闲鱼123天了,卖出过57件宝贝,店铺上新 ，欢迎您进来看看，全是阿迪耐克二手正品货源 ，喜欢的朋友点个关注支持下，谢谢！,2小时前来过,A,信用极好,阜新,耐克男女通款帽衫卫衣 正品 9成新 无破损拍前请看好图片尺寸,在售,0,45,1,0,178,1,0,无同款商品信息,"耐克男女通款帽衫卫衣 正品 9成新 无破损拍前请看好图片尺寸 售出不退换 不议价 所有衣物都是二手品牌回收店的正品衣物  内标齐全  价格很低  只求喜欢的朋友能多多关注我
多多光临  # 二手旧衣物"
2313501182,来闲鱼554天了,卖出过72件宝贝,,连续4天来过,A,信用极好,吉林,AK男装全棉运动背心，AKseries，尺码：M/170。,在售,0,50,1,12,3,0,0,无同款商品信息,"AK男装全棉运动背心，AKseries，尺码：M/170。
闲置一款背心，材质很舒服，图5的瑕疵处已经标出来了。
衣服都是干净的，发出前会消毒熨烫。
二手闲置不退换。"
